# id	path	classification	features	reason
part1_core_lossless_53	codestreams_profile0/p0_01.j2k	blocking	part1-core;lossless-5-3	Part 1 reversible core codestream support is shipped by the release scope.
part1_core_lossy_97_layers_precincts	codestreams_profile0/p0_04.j2k	blocking	part1-core;lossy-9-7;quality-layers;precincts;progression-orders	Part 1 irreversible lossy multi-layer codestream support, precincts, and progression-order support are shipped by the release scope.
part1_poc_tlm_sop	codestreams_profile0/p0_03.j2k	blocking	part1-core;poc;progression-orders;tlm;sop	POC packet iteration, TLM metadata, SOP markers, and progression-order support are shipped by the release scope.
part1_plt_sop_eph	codestreams_profile0/p0_07.j2k	blocking	part1-core;poc;progression-orders;plt;sop;eph	PLT packet-length metadata, chunked PPM/PPT separated packet headers, SOP/EPH packet markers, and POC progression changes are shipped by the release scope.
openhtj2k_ds0_ht_12_b11	htj2k_bsets_profile0/p0_12_bset/ds0_ht_12_b11.j2k	blocking	part15-core;ht-refinement	HTJ2K core refinement-pass conformance vector shipped by the release scope.
openhtj2k_ds0_ht_09_b11	htj2k_bsets_profile0/p0_09_bset/ds0_ht_09_b11.j2k	blocking	part15-core;ht-refinement	HTJ2K core refinement-pass conformance vector shipped by the release scope.
plm_iso_vector_absent	known-limitations/no-plm-vector-in-t803v3.txt	blocking	plm;conformance-coverage-gap	The available T.803v3 extraction has no described PLM-bearing vector; PLM behavior and oversized separated packet-header chunking remain covered by repo-local self-checks until external vectors are pinned.
jpx_part2_deferred	known-limitations/jpx-part2-placeholder.jp2	out-of-scope	jpx;part2	JPX and JPEG 2000 Part 2 extensions are outside the Part 1 plus Part 15 support claim unless required for standard JP2/JPH still-image correctness.
icc_roundtrip_deferred	known-limitations/icc-roundtrip-placeholder.jp2	known-limitation	jp2;icc-roundtrip;external-parity	JP2/JPH ICC write, inspect, rewrap, and coefficient-preserving JPH recode are covered by repo-local tests; external ICC parity fixtures remain pending.
encode_gt16_deferred	known-limitations/gt16-placeholder.j2k	known-limitation	encode-25-38-bit;external-parity	High-bit publication-evidence row: signed/unsigned 24-bit raw-pixel encode plus exact single-tile and multi-tile classic reversible 29-bit DWT-safe, 32/35-bit classic DWT, 31/37-bit classic no-DWT, full-resolution 29/35-bit, sampled 29-bit, sampling-aligned sampled multi-tile 29-bit component-plane, unaligned sampled multi-tile 29-bit component-plane, sampled high-bit native region decode, classic irreversible 29/38-bit lossy encode/decode, mixed full-resolution 29/12-bit and 35/12-bit single-tile typed component-plane plus 29/12-bit multi-tile typed component-plane, and 29/31-bit HTJ2K no-DWT encode/decode are covered locally; HTJ2K low-bit ROI is covered at the 31 coded-bitplane edge, classic high-bit ROI is covered at 50 coded bitplanes, and classic 56/HT >31 coded-bitplane ROI overflows are reported explicitly; classic reversible requests beyond the Part 1 no-quantization bitplane field and HTJ2K requests beyond the Part 15 31-bitplane HT block limit reject explicitly; external parity remains publication evidence.
